"Method","Task1",,"Task1","Task2",,"Task1","Task2","Task3"
"Naive","0",,"0","0",,"0","0","0"
"MAS","0",,"0","0",,"0","0","0"
"MAS with replay","0",,"0","0",,"0","0","0"
"NISPA","0",,"0","0",,"0","0","0"
"REMIND","0",,"0","0",,"0","0","0"
"DER","0",,"0","0",,"0","0","0"
"DER++","0",,"0","0",,"0","0","0"
"JOINT","0",,"0","0",,"0","0","0"
