After task,Task1,Task2,Task3,Task4,Task5,Task6
1,0.6037335395812988,0.0,0.0,0.0,0.0,0.0
2,0.3637568950653076,0.40122872591018677,0.0,0.0,0.0,0.0
3,0.15851718187332153,0.435349702835083,0.6997698545455933,0.0,0.0,0.0
4,0.1378871500492096,0.41266539692878723,0.029562754556536674,0.5766341090202332,0.0,0.0
5,0.09970301389694214,0.3940453827381134,0.0,8.0795020039659e-05,0.5668481588363647,0.0
6,0.2097475677728653,0.4116257131099701,0.2571251690387726,0.1396138072013855,0.28110507130622864,0.0
btw,-0.39398597180843353,0.010396987199783325,-0.4426446855068207,-0.43702030181884766,-0.2857430875301361,0.0,-0.30979941189289095
ftw,0.0,0.0,0.0,0.0,0.0,0.0
