,Task1 Acc,Task2 Acc,Task3 Acc,Task4 Acc,Task5 Acc,Task6 Acc/n
Eval After Task1,0.7127919135587313,0.0,0.0,0.0,0.0,0.0/n
Eval After Task2,0.0,0.9716284492809949,0.0,0.0,0.0,0.0/n
